window_index,start_ms,end_ms,samples,successes,failures,error_rate_pct,throughput_rps,success_avg_ms,success_min_ms,success_p95_ms,success_max_ms,failed_avg_ms,failed_min_ms,failed_p95_ms,failed_max_ms,all_avg_ms
81,1776951907800,1776951917800,406,406,0,0.00,40.60,408.00,56,949,1376,0.00,0,0,0,408.00
82,1776951917800,1776951927800,347,347,0,0.00,34.70,468.41,49,1047,1420,0.00,0,0,0,468.41
83,1776951927800,1776951937800,335,335,0,0.00,33.50,452.09,23,1106,1555,0.00,0,0,0,452.09
84,1776951937800,1776951947800,276,276,0,0.00,27.60,538.36,59,1356,4320,0.00,0,0,0,538.36
85,1776951947800,1776951957800,408,408,0,0.00,40.80,392.63,38,843,2085,0.00,0,0,0,392.63
86,1776951957800,1776951967800,360,360,0,0.00,36.00,439.81,37,929,2641,0.00,0,0,0,439.81
87,1776951967800,1776951977800,317,317,0,0.00,31.70,488.14,35,1247,2153,0.00,0,0,0,488.14
88,1776951977800,1776951987800,339,339,0,0.00,33.90,463.22,74,985,1568,0.00,0,0,0,463.22
89,1776951987800,1776951997800,346,346,0,0.00,34.60,460.99,53,894,1912,0.00,0,0,0,460.99
90,1776951997800,1776952007800,448,448,0,0.00,44.80,357.92,25,759,1409,0.00,0,0,0,357.92
91,1776952007800,1776952017800,444,444,0,0.00,44.40,370.78,21,890,1791,0.00,0,0,0,370.78
92,1776952017800,1776952027800,239,239,0,0.00,23.90,448.00,124,820,1687,0.00,0,0,0,448.00
94,1776952037800,1776952047800,70,70,0,0.00,7.00,1907.91,159,5886,9925,0.00,0,0,0,1907.91
95,1776952047800,1776952057800,144,144,0,0.00,14.40,942.12,63,1959,4768,0.00,0,0,0,942.12
96,1776952057800,1776952067800,201,201,0,0.00,20.10,721.48,78,1842,2828,0.00,0,0,0,721.48
97,1776952067800,1776952077800,218,218,0,0.00,21.80,683.72,19,1844,3057,0.00,0,0,0,683.72
98,1776952077800,1776952087800,302,302,0,0.00,30.20,498.03,58,1288,2985,0.00,0,0,0,498.03
99,1776952087800,1776952097800,399,399,0,0.00,39.90,408.19,46,1016,2042,0.00,0,0,0,408.19
100,1776952097800,1776952107800,161,161,0,0.00,16.10,876.98,98,2395,7129,0.00,0,0,0,876.98
101,1776952107800,1776952117800,325,325,0,0.00,32.50,484.77,81,1082,1936,0.00,0,0,0,484.77
102,1776952117800,1776952127800,319,319,0,0.00,31.90,500.64,75,1131,1488,0.00,0,0,0,500.64
103,1776952127800,1776952137800,386,386,0,0.00,38.60,411.59,22,859,1224,0.00,0,0,0,411.59
104,1776952137800,1776952147800,418,418,0,0.00,41.80,375.92,32,1012,2529,0.00,0,0,0,375.92
105,1776952147800,1776952157800,357,357,0,0.00,35.70,472.13,14,1184,3858,0.00,0,0,0,472.13
106,1776952157800,1776952167800,190,190,0,0.00,19.00,800.08,120,1909,2802,0.00,0,0,0,800.08
