window_index,start_ms,end_ms,samples,successes,failures,error_rate_pct,throughput_rps,success_avg_ms,success_min_ms,success_p95_ms,success_max_ms,failed_avg_ms,failed_min_ms,failed_p95_ms,failed_max_ms,all_avg_ms
89,1776941764611,1776941774611,662,662,0,0.00,66.20,272.69,38,595,766,0.00,0,0,0,272.69
90,1776941774611,1776941784611,641,641,0,0.00,64.10,274.39,24,575,1201,0.00,0,0,0,274.39
91,1776941784611,1776941794611,1297,1297,0,0.00,129.70,136.04,11,320,752,0.00,0,0,0,136.04
92,1776941794611,1776941804611,638,638,0,0.00,63.80,232.45,18,531,782,0.00,0,0,0,232.45
94,1776941814611,1776941824611,872,872,0,0.00,87.20,149.43,18,399,893,0.00,0,0,0,149.43
95,1776941824611,1776941834611,589,589,0,0.00,58.90,299.57,38,614,941,0.00,0,0,0,299.57
96,1776941834611,1776941844611,917,917,0,0.00,91.70,190.43,11,463,1468,0.00,0,0,0,190.43
97,1776941844611,1776941854611,1044,1044,0,0.00,104.40,174.94,10,426,1221,0.00,0,0,0,174.94
98,1776941854611,1776941864611,678,678,0,0.00,67.80,260.15,23,602,1976,0.00,0,0,0,260.15
99,1776941864611,1776941874611,1240,1240,0,0.00,124.00,146.19,21,321,1132,0.00,0,0,0,146.19
100,1776941874611,1776941884611,1150,1150,0,0.00,115.00,155.54,13,381,1345,0.00,0,0,0,155.54
101,1776941884611,1776941894611,806,806,0,0.00,80.60,219.83,15,511,2616,0.00,0,0,0,219.83
102,1776941894611,1776941904611,599,599,0,0.00,59.90,297.39,26,651,1514,0.00,0,0,0,297.39
103,1776941904611,1776941914611,779,779,0,0.00,77.90,225.89,13,589,1209,0.00,0,0,0,225.89
104,1776941914611,1776941924611,1069,1069,0,0.00,106.90,168.53,17,426,863,0.00,0,0,0,168.53
105,1776941924611,1776941934611,596,596,0,0.00,59.60,301.75,28,640,2063,0.00,0,0,0,301.75
106,1776941934611,1776941944611,648,648,0,0.00,64.80,274.56,18,580,1467,0.00,0,0,0,274.56
107,1776941944611,1776941954611,851,851,0,0.00,85.10,209.13,13,512,1021,0.00,0,0,0,209.13
108,1776941954611,1776941964611,1222,1222,0,0.00,122.20,148.20,12,348,836,0.00,0,0,0,148.20
109,1776941964611,1776941974611,874,874,0,0.00,87.40,203.36,17,566,1713,0.00,0,0,0,203.36
110,1776941974611,1776941984611,453,453,0,0.00,45.30,383.91,24,827,2591,0.00,0,0,0,383.91
111,1776941984611,1776941994611,1045,1045,0,0.00,104.50,169.86,10,435,1413,0.00,0,0,0,169.86
112,1776941994611,1776942004611,815,815,0,0.00,81.50,221.35,16,541,954,0.00,0,0,0,221.35
113,1776942004611,1776942014611,511,511,0,0.00,51.10,356.73,48,767,1702,0.00,0,0,0,356.73
114,1776942014611,1776942024611,1087,1087,0,0.00,108.70,164.10,14,413,1036,0.00,0,0,0,164.10
115,1776942024611,1776942034611,1407,1407,0,0.00,140.70,127.88,9,282,906,0.00,0,0,0,127.88
116,1776942034611,1776942044611,694,694,0,0.00,69.40,255.44,59,506,1340,0.00,0,0,0,255.44
117,1776942044611,1776942054611,724,724,0,0.00,72.40,248.95,21,488,868,0.00,0,0,0,248.95
118,1776942054611,1776942064611,688,688,0,0.00,68.80,258.81,14,554,952,0.00,0,0,0,258.81
119,1776942064611,1776942074611,664,664,0,0.00,66.40,269.49,20,548,1499,0.00,0,0,0,269.49
120,1776942074611,1776942084611,646,646,0,0.00,64.60,272.46,14,615,1713,0.00,0,0,0,272.46
121,1776942084611,1776942094611,688,688,0,0.00,68.80,261.17,18,518,1700,0.00,0,0,0,261.17
122,1776942094611,1776942104611,764,764,0,0.00,76.40,232.76,12,520,822,0.00,0,0,0,232.76
123,1776942104611,1776942114611,752,752,0,0.00,75.20,237.14,28,477,1078,0.00,0,0,0,237.14
124,1776942114611,1776942124611,156,156,0,0.00,15.60,267.88,45,529,749,0.00,0,0,0,267.88
125,1776942124611,1776942134611,419,419,0,0.00,41.90,141.60,15,321,593,0.00,0,0,0,141.60
126,1776942134611,1776942144611,588,588,0,0.00,58.80,298.53,30,679,1061,0.00,0,0,0,298.53
127,1776942144611,1776942154611,613,613,0,0.00,61.30,287.96,35,609,1278,0.00,0,0,0,287.96
128,1776942154611,1776942164611,707,707,0,0.00,70.70,257.42,19,568,942,0.00,0,0,0,257.42
129,1776942164611,1776942174611,990,990,0,0.00,99.00,176.70,16,410,1429,0.00,0,0,0,176.70
130,1776942174611,1776942184611,991,991,0,0.00,99.10,183.95,20,428,792,0.00,0,0,0,183.95
131,1776942184611,1776942194611,624,624,0,0.00,62.40,286.23,18,607,1056,0.00,0,0,0,286.23
132,1776942194611,1776942204611,732,732,0,0.00,73.20,244.15,20,515,1130,0.00,0,0,0,244.15
133,1776942204611,1776942214611,630,630,0,0.00,63.00,281.30,22,616,1216,0.00,0,0,0,281.30
134,1776942214611,1776942224611,765,765,0,0.00,76.50,233.65,20,473,912,0.00,0,0,0,233.65
135,1776942224611,1776942234611,618,618,0,0.00,61.80,288.79,14,728,1421,0.00,0,0,0,288.79
136,1776942234611,1776942244611,716,716,0,0.00,71.60,244.95,23,586,1235,0.00,0,0,0,244.95
137,1776942244611,1776942254611,755,755,0,0.00,75.50,235.82,12,477,1646,0.00,0,0,0,235.82
138,1776942254611,1776942264611,592,592,0,0.00,59.20,303.59,69,636,930,0.00,0,0,0,303.59
139,1776942264611,1776942274611,548,548,0,0.00,54.80,320.92,20,685,1736,0.00,0,0,0,320.92
140,1776942274611,1776942284611,601,601,0,0.00,60.10,292.43,12,614,1280,0.00,0,0,0,292.43
141,1776942284611,1776942294611,796,796,0,0.00,79.60,229.44,11,505,2188,0.00,0,0,0,229.44
142,1776942294611,1776942304611,625,625,0,0.00,62.50,278.50,22,553,1581,0.00,0,0,0,278.50
143,1776942304611,1776942314611,896,896,0,0.00,89.60,196.07,14,450,742,0.00,0,0,0,196.07
144,1776942314611,1776942324611,499,499,0,0.00,49.90,370.63,19,1274,2878,0.00,0,0,0,370.63
145,1776942324611,1776942334611,734,734,0,0.00,73.40,245.51,24,504,836,0.00,0,0,0,245.51
146,1776942334611,1776942344611,644,644,0,0.00,64.40,280.46,27,635,2108,0.00,0,0,0,280.46
147,1776942344611,1776942354611,632,632,0,0.00,63.20,283.32,42,605,990,0.00,0,0,0,283.32
148,1776942354611,1776942364611,665,665,0,0.00,66.50,266.93,17,511,1058,0.00,0,0,0,266.93
149,1776942364611,1776942374611,613,613,0,0.00,61.30,289.54,16,556,2559,0.00,0,0,0,289.54
150,1776942374611,1776942384611,702,702,0,0.00,70.20,254.09,15,513,1204,0.00,0,0,0,254.09
151,1776942384611,1776942394611,726,726,0,0.00,72.60,245.29,22,502,1439,0.00,0,0,0,245.29
152,1776942394611,1776942404611,670,670,0,0.00,67.00,267.79,33,540,957,0.00,0,0,0,267.79
153,1776942404611,1776942414611,860,860,0,0.00,86.00,204.90,9,518,809,0.00,0,0,0,204.90
154,1776942414611,1776942424611,906,906,0,0.00,90.60,198.68,12,472,1117,0.00,0,0,0,198.68
155,1776942424611,1776942434611,308,308,0,0.00,30.80,387.16,29,987,2214,0.00,0,0,0,387.16
